"all_..idle","X..memused","X..swpused","proc.s","cswch.s","file.nr","sum_intr.s","rtps","ldavg.1","tcpsck"
94.57,4.05,0.1,0,5810,2304,6051,0,1.58,20
97.25,4.05,0.1,0,2621,2304,2521,0,1.58,20
97.83,4.05,0.1,0,2152,2304,1985,0,1.46,20
97.87,4.06,0.1,10,1265,2304,1304,0,1.46,20
97.54,4.07,0.1,0,1080,2304,910,54,1.46,20
98.38,4.08,0.1,0,1029,2304,739,0,1.46,20
96.88,4.08,0.1,11,1828,2304,1773,0,1.46,20
96.66,4.09,0.1,11,1186,2304,1380,0,1.34,20
96.75,4.09,0.1,3,1419,2352,1508,0,1.34,20
96.5,4.1,0.1,0,1753,2352,1569,0,1.34,20
96.75,4.11,0.1,0,1613,2352,1572,0,1.34,20
96.58,4.11,0.1,0,1720,2352,1633,0,1.34,20
97.33,4.12,0.1,0,1788,2352,1525,0,1.39,20
96.38,4.12,0.1,10,1646,2352,2216,0,1.39,21
94.41,4.17,0.1,9,2427,2352,2574,0,1.39,21
95.21,4.17,0.1,0,2135,2352,2062,0,1.39,21
94.99,4.18,0.1,0,2125,2352,2211,0,1.39,21
95.08,4.19,0.1,0,2050,2352,2066,0,1.28,21
93.95,4.2,0.1,10,2378,2352,2742,0,1.28,21
93,4.2,0.1,0,3451.49,2352,3664.36,0,1.28,21
93.79,4.21,0.1,4,3069,2400,3263,0,1.28,21
93.29,4.21,0.1,18,3070,2400,3385,0,1.28,21
93.17,4.21,0.1,3,2998,2400,3358,0,1.26,21
92.83,4.21,0.1,0,2991,2400,3209,0,1.26,21
93.53,4.22,0.1,0,3388,2400,3449,0,1.26,21
93.54,4.23,0.1,0,3185,2400,3392,0,1.26,21
93.57,4.24,0.1,0,2833,2400,3026,0,1.26,21
92.33,4.25,0.1,10,3885,2400,4421,54,1.16,21
93.25,4.26,0.1,0,3043,2400,3234,0,1.16,21
91.87,4.26,0.1,0,3632,2400,3966,0,1.16,21
92.54,4.26,0.1,0,3800,2400,3953,0,1.16,21
93.28,4.26,0.1,0,3579,2400,3794,0,1.16,21
92.62,4.27,0.1,0,2658,2400,2901,0,1.07,21
92.37,4.28,0.1,10,3467,2400,4181,0,1.07,21
93.32,4.28,0.1,0,3090,2400,3319,0,1.07,21
92.46,4.29,0.1,4,3084,2400,3510,0,1.07,21
92.25,4.29,0.1,18,4005,2352,4611,0,1.07,21
92.15,4.3,0.1,3,3400,2352,3842,0,0.98,21
93.2,4.3,0.1,0,3029,2352,3215,0,0.98,21
91.88,4.3,0.1,0,3498,2352,3733,0,0.98,21
91.79,4.31,0.1,0,4435,2352,4724,54,0.98,21
93.79,4.31,0.1,0,4075,2352,4229,0,0.98,21
92.49,4.31,0.1,10,3194,2352,3818,0,0.9,21
92.78,4.31,0.1,0,2784,2352,3035,0,0.9,21
93.99,4.31,0.1,0,3112,2352,3281,0,0.9,21
92.92,4.31,0.1,0,2228,2352,2358,0,0.9,21
92.33,4.31,0.1,0,3276,2352,3559,0,0.9,21
92.38,4.32,0.1,0,3533,2352,3805,0,0.83,21
93.94,4.33,0.1,10,3344,2352,3711,0,0.83,21
94.08,4.33,0.1,0,2745,2352,2844,0,0.83,21
93.02,4.34,0.1,7,2935,2400,3403,0,0.83,21
94.08,4.35,0.1,18,2637,2448,3106,0,0.83,21
92.99,4.35,0.1,3,2852,2448,3139,0,0.76,21
93.29,4.36,0.1,0,2608,2448,2800,0,0.76,21
93.7,4.37,0.1,0,2986,2448,3111,0,0.76,21
91.63,4.38,0.1,0,3291,2448,3632,0,0.76,21
92.37,4.39,0.1,0,3910,2448,4191,52,0.76,21
92.71,4.4,0.1,10,3818,2448,4297,0,0.7,21
93.11,4.41,0.1,0,5363,2448,3713,0,0.7,21
93.5,4.42,0.1,0,7451,2448,4018,0,0.7,21
92.49,4.42,0.1,0,7515,2448,4036,0,0.7,21
90.45,4.47,0.1,9,8194,2448,5484,0,0.7,22
87.89,4.5,0.1,9,4598,2448,8999,0,0.81,23
85.68,4.51,0.1,10,5909,2448,6951,0,0.81,23
87.07,4.52,0.1,0,5254,2448,5815,0,0.81,23
86.62,4.53,0.1,4,5475,2448,6237,0,0.81,23
86.31,4.54,0.1,18,5624,2448,6482,0,0.81,23
85.89,4.55,0.1,3,5481,2496,6298,0,0.9,24
84.93,4.57,0.1,9,7124,2496,8813,0,0.9,24
86.5,4.58,0.1,0,6334,2496,7007,54,0.9,24
86.13,4.59,0.1,0,6081,2496,6825,0,0.9,24
85.37,4.6,0.1,0,5830,2496,6585,0,0.9,24
85.14,4.61,0.1,10,6128,2496,7212,0,0.99,24
86.62,4.61,0.1,0,6762,2496,7472,0,0.99,24
85.71,4.63,0.1,0,6958,2496,7719,0,0.99,24
85.23,4.64,0.1,0,6435,2496,7187,0,0.99,24
86.07,4.64,0.1,0,6182,2496,6928,0,0.99,24
85.7,4.66,0.1,0,6371,2496,7199,54,1.23,24
85.97,4.68,0.1,10,6433,2496,7592,0,1.23,24
82.58,4.7,0.1,9,7055,2496,9919,0,1.23,25
82.48,4.72,0.1,4,8272,2544,8245,0,1.23,25
78.57,4.75,0.1,27,8135,2496,11926,0,1.23,26
78.23,4.76,0.1,3,9350,2496,10584,0,1.53,26
80.61,4.77,0.1,0,9371,2496,10322,0,1.53,26
79.12,4.78,0.1,0,9803,2496,10645,54,1.53,26
79.95,4.78,0.1,0,8984,2496,9894,0,1.53,26
79.64,4.79,0.1,0,8402,2496,9414,0,1.53,26
79.21,4.84,0.1,19,8823,2496,10498,0,1.81,27
75.44,4.85,0.1,0,9391,2496,10895,0,1.81,27
77.11,4.86,0.1,0,9132,2496,10463,0,1.81,27
76.34,4.87,0.1,0,9273,2496,10384,54,1.81,27
76.66,4.88,0.1,0,9478,2496,10702,0,1.81,27
75.68,4.88,0.1,0,9539,2496,10871,0,2.07,27
76.09,4.89,0.1,10,10452,2496,11862,0,2.07,27
74.48,4.92,0.1,9,10784,2496,12788,0,2.07,29
66.78,4.96,0.1,13,12267,2448,17356,0,2.07,29
69.46,4.97,0.1,18,12134,2448,13807,0,2.07,29
69.73,4.99,0.1,3,11706,2448,13521,52,2.86,29
69.93,5,0.1,0,11305,2448,12909,0,2.86,29
67.59,5,0.1,0,13852,2448,14378,0,2.86,29
62.99,5.02,0.1,9,13618,2448,17128,0,2.86,30
58.02,5.08,0.1,9,13944,2448,16187,56,2.86,31
62.56,5.09,0.1,10,14266,2448,15964,0,3.83,31
63.41,5.09,0.1,0,14602,2448,16314,0,3.83,31
63.59,5.1,0.1,0,14346,2448,15904,0,3.83,31
63.86,5.1,0.1,0,14880,2448,16334,0,3.83,31
62.88,5.12,0.1,0,13865,2448,15402,52,3.83,31
63.23,5.12,0.1,0,13990,2448,15495,0,4.57,31
63.5,5.13,0.1,10,14649,2448,16176,0,4.57,31
63.26,5.14,0.1,0,13986,2448,15780,0,4.57,31
62.94,5.15,0.1,4,13348,2496,14979,0,4.57,31
63.72,5.16,0.1,1,13972,2496,15545,0,4.57,31
63.45,5.17,0.1,17,15123,2496,16638,0,5.08,31
63.99,5.18,0.1,3,14181,2496,15463,0,5.08,31
65.61,5.2,0.1,9,12637,2496,14427,54,5.08,31
62.57,5.2,0.1,0,12102,2496,13673,0,5.08,31
64,5.21,0.1,0,14066,2496,15562,0,5.08,31
63.74,5.22,0.1,0,14674,2496,15898,0,5.72,31
64.07,5.23,0.1,10,13555,2544,15160,0,5.72,31
63.27,5.28,0.1,9,12631,2544,14140,0,5.72,32
59.66,5.29,0.1,0,14550,2544,16042,0,5.72,32
60.65,5.31,0.1,0,14645,2544,16099,54,5.72,32
61.12,5.31,0.1,0,14612,2544,16208,0,6.06,32
58.89,5.32,0.1,0,15370,2544,16769,0,6.06,32
59.66,5.33,0.1,10,17780,2544,19364,0,6.06,32
59.62,5.35,0.1,0,17243,2544,18611,0,6.06,32
59.8,5.36,0.1,4,17217,2544,18546,0,6.06,32
60.82,5.37,0.1,18,16748,2496,18394,0,6.37,32
59.63,5.39,0.1,3,15603,2496,17132,0,6.37,32
61.85,5.4,0.1,0,14787,2496,16092,0,6.37,32
60.16,5.41,0.1,0,14733,2496,16287,54,6.37,32
60.65,5.42,0.1,0,14759,2496,16056,0,6.37,32
60.76,5.43,0.1,0,15751,2496,16900,0,6.83,32
59.62,5.44,0.1,19,14882,2496,19910,0,6.83,31
59.86,5.44,0.1,0,15402,2496,16895,0,6.83,31
61.12,5.45,0.1,0,15870,2496,17081,0,6.83,31
61.75,5.45,0.1,0,15662,2496,16860,0,6.83,31
60.03,5.46,0.1,9,14221,2496,16709,0,6.92,31
59.04,5.48,0.1,0,16139,2496,17713,54,6.92,31
59.92,5.47,0.1,19,16130,2496,21581,0,6.92,31
58.96,5.49,0.1,0,15310,2496,16927,0,6.92,31
61.36,5.49,0.1,4,15285,2496,16476,0,6.92,31
60.61,5.5,0.1,18,14643,2496,16297,0,7.09,31
59.53,5.5,0.1,3,14835,2496,16211,0,7.09,31
59.11,5.5,0.1,0,16081,2496,17435,0,7.09,31
59.72,5.5,0.1,0,15770,2496,17199,0,7.09,32
56.36,5.55,0.1,9,16307,2496,19478,0,7.09,32
59.97,5.55,0.1,9,15721,2496,17472,52,7.32,32
56.4,5.56,0.1,10,14568,2496,16735,0,7.32,32
59.5,5.57,0.1,0,15348,2496,17174,0,7.32,32
59.51,5.58,0.1,0,14664,2496,16416,0,7.32,32
60.77,5.58,0.1,0,14132,2496,15804,0,7.32,32
60.39,5.59,0.1,0,13930,2496,15540,0,7.61,32
59.78,5.6,0.1,0,14337,2496,15821,0,7.61,32
57.92,5.61,0.1,10,18566,2496,17508,0,7.61,32
59.06,5.63,0.1,0,14997,2496,16589,54,7.61,32
59.09,5.64,0.1,4,14905,2544,16430,0,7.61,32
61.36,5.63,0.1,18,15069,2496,16628,0,7.73,32
61.76,5.64,0.1,3,14589,2496,15976,0,7.73,32
