"all_..idle","X..memused","X..swpused","proc.s","cswch.s","file.nr","sum_intr.s","rtps","ldavg.1","tcpsck"
95.27,6.19,0.1,0,7890,2112,4923,0,1.94,19
97.67,6.19,0.1,3,6864,2112,3256,0,1.79,19
97.71,6.2,0.1,12,5365,2160,2774,0,1.79,19
96.83,6.22,0.1,9,3496,2160,3436,0,1.79,20
91.66,6.27,0.1,9,2730,2160,3079,0,1.79,21
90.71,6.28,0.1,20,4031,2256,4534,0,1.79,21
87.98,6.3,0.1,9,3808,2256,5918,0,1.8,22
87.59,6.31,0.1,11,4160,2256,4652,0,1.8,22
87.07,6.35,0.1,9,5271,2256,5629,0,1.8,23
82.47,6.36,0.1,0,5342,2256,5959,0,1.8,23
84.91,6.37,0.1,3,5724,2256,6239,0,1.8,23
84.83,6.37,0.1,0,6205,2256,6539,0,2.22,23
84.43,6.38,0.1,0,6516,2256,6958,0,2.22,23
84.83,6.39,0.1,0,6503,2256,6881,0,2.22,23
81.1,6.47,0.1,18,7225,2256,8856,0,2.22,26
72.92,6.56,0.1,18,8642,2256,11257,0,2.22,27
75.9,6.57,0.1,0,8077,2256,9050,0,2.52,28
70.92,6.6,0.1,20,9482,2304,12762,0,2.52,28
72.47,6.61,0.1,0,9790,2304,10951,0,2.52,28
67.29,6.66,0.1,9,10296,2304,12475,0,2.52,29
66.76,6.7,0.1,29,13445,2304,15397,0,2.52,30
61.66,6.72,0.1,0,17506,2304,15924,0,3.2,30
63.51,6.74,0.1,19,12392,2256,14469,0,3.2,31
57.42,6.78,0.1,1,14372,2256,16699,0,3.2,31
56.17,6.8,0.1,0,15962,2256,18105,0,3.2,32
52.93,6.91,0.1,30,18877,2256,25620,0,3.2,34
48.09,6.93,0.1,0,17522,2256,20236,0,3.83,34
50.48,6.95,0.1,0,17538,2256,20212,0,3.83,34
49.37,6.96,0.1,0,18012,2256,20958,0,3.83,34
47.16,6.98,0.1,0,19646,2256,22397,0,3.83,34
46.99,6.99,0.1,0,23352,2256,26417,0,3.83,34
47.47,7,0.1,0,21501,2256,24422,0,4.64,34
47.67,7.01,0.1,11,22151,2256,25316,0,4.64,34
46.15,7.03,0.1,0,20406,2256,23542,0,4.64,35
41.02,7.12,0.1,18,20675,2256,24544,0,4.64,37
33.56,7.21,0.1,38,25939,2304,28108,0,4.64,38
33.83,7.23,0.1,9,22514,2304,27391,0,5.87,38
