"DispFrames","NoAudioPlayed","NoRTPPkts"
24.3900001049,57.380004406,274.400016785
24,41.6099998951,177.840005875
19.1200008392,32.8500015736,137.700003147
16,43.4699971676,100.380004406
20.8799991608,46.6800012589,83.3900001049
24,42,83.6099998951
24,41.3900001049,84
24,41.6099998951,84.6099998951
24,42,101.469997168
24,41.3900001049,126.639997482
24,41.6099998951,137.21999979
24,42,140.43999958
23.3900001049,41.3900001049,141.390000105
24.2199997902,41.6099998951,137.340000629
24.3900001049,42,131.950000525
24,41.3900001049,126.950000525
23.3900001049,41.6099998951,123.78000021
23.6099998951,42,119.950000525
24,41.3900001049,113.120000839
24,41.6099998951,104.510000944
24,42,98.5600004196
24,41.3900001049,92.7300007343
24,41.6099998951,87.5600004196
24.6099998951,42,90.8799991608
23.7800002098,41.3900001049,100.709998846
23.6099998951,41.6099998951,111.709998846
24,42,124.539998531
24,41.3900001049,144.029997587
24,41.6099998951,156.049999475
24,42,158
24,41.3900001049,127.500005245
24,41.6099998951,116.539998531
24,42,118.950000525
24,41.3900001049,121.269999266
24,41.6099998951,118.510000944
24,42,121.709998846
24,41.3900001049,128.43999958
24,41.6099998951,125.730000734
24,42,119.340000629
24,41.3900001049,121.269999266
24,41.6099998951,112.410001993
24,42,101.950000525
24,41.3900001049,94.5100009441
23.3900001049,41.6099998951,92.8299996853
23.6099998951,42,93.3900001049
24,41.3900001049,99.7099988461
24,41.6099998951,108.269999266
24,42,114.049999475
24.6099998951,41.3900001049,117.829999685
24.3900001049,41.6099998951,101.310003042
24,42,91.2199997902
24,41.3900001049,91.3900001049
24,41.6099998951,91.6099998951
23.3900001049,42,92
23.6099998951,41.3900001049,124.32999444
24,41.6099998951,141.950000525
24,42,147.929998636
24,41.3900001049,174.959996223
24,41.6099998951,210.349996328
24,42,224
24,41.3900001049,223.390000105
24,41.6099998951,224.21999979
24,42,225
24,41.3900001049,225
24,41.6099998951,225.609999895
24,42,185.130007029
24,41.3900001049,161.43999958
24,41.6099998951,164.21999979
24,42,164.390000105
24,41.3900001049,163.390000105
24,41.6099998951,163
24,42,162.390000105
24,41.3900001049,158.950000525
24,41.6099998951,228.369987726
24,42,272.170000315
24,41.3900001049,269.170000315
24,41.6099998951,269.21999979
24,42,270
24,41.3900001049,270.609999895
24,41.6099998951,270.390000105
24,42,271.829999685
24,41.3900001049,273
24,41.6099998951,273.609999895
24,41.3900001049,270.950000525
24,41.6099998951,269
24,42,264.730000734
24,42,201.00001049
24,41.3900001049,221.169989824
19.7300007343,41.6099998951,262.659999371
21.2699992657,42,204.00001049
24,41.3900001049,220.509990454
24,41.6099998951,255.390000105
21.5600004196,42,166.550015211
18.7800002098,41.3900001049,92.9200029373
21.6599993706,41.6099998951,113.10999465
19.1200008392,42,115.310003042
14.1700003147,41.3900001049,101.56000042
13.6099998951,41.6099998951,104.879999161
15.2199997902,41.3900001049,120.809997797
20.8799991608,41.6099998951,114.970002413
20.9500005245,42,106.609999895
15.3400006294,42,105.170000315
13,41.3900001049,95.4600014687
16.0499994755,41.6099998951,88.7800002098
18.6099998951,42,100.199997902
15.3400006294,41.3900001049,104.950000525
13,41.6099998951,105.43999958
13,42,102.730000734
15.4399995804,41.3900001049,114.639997482
18.2199997902,41.6099998951,127.049999475
15.3400006294,42,127.78000021
13.6099998951,41.3900001049,127
13.3900001049,41.6099998951,127
14.8299996853,42,124.56000042
14.7800002098,41.3900001049,79.6900074482
13.3900001049,41.6099998951,96.529992342
13,42,119.510000944
13,41.3900001049,113.56000042
14.2199997902,41.6099998951,112.609999895
16.2199997902,42,74.570006609
14.5600004196,41.3900001049,87.8199934959
13,41.6099998951,145.54999423
13.6099998951,42,134.060005665
15.2199997902,41.3900001049,112.390000105
19.6599993706,41.6099998951,113.21999979
16.5100009441,42,113.390000105
13,41.3900001049,113
13,41.6099998951,110.56000042
14.8299996853,42,106.56000042
19.0499994755,41.3900001049,103.78000021
16.1200008392,41.6099998951,103.609999895
13,42,71.0600056648
13,41.3900001049,81.1099946499
14.2199997902,41.6099998951,66.2300059795
13.7800002098,42,78.7699940205
13,41.3900001049,101
13,41.6099998951,100.390000105
13.6099998951,42,70.7200050354
15.8299996853,41.3900001049,81.8899948597
16.3900001049,41.6099998951,104.659999371
14.1700003147,42,134.449995279
13,41.3900001049,116.620006084
13,41.6099998951,93.3900001049
15.4399995804,42,141.799991608
21.2699992657,41.3900001049,154.090003252
21.5600004196,41.6099998951,138.340000629
15.7300007343,42,136.609999895
13.6099998951,41.3900001049,133.340000629
15.8299996853,41.6099998951,103.550004721
17.6099998951,42,85.3900001049
14.9500005245,41.3900001049,104.519996643
13,41.6099998951,98.7000031471
13.6099998951,41.3900001049,87.6099998951
15.2199997902,41.6099998951,89.2199997902
18.4399995804,42,89.3900001049
15.7300007343,42,85.3400006294
13.6099998951,41.3900001049,84.2199997902
13.3900001049,41.6099998951,84.3900001049
15.4399995804,42,82.1700003147
18.2199997902,41.3900001049,83.4399995804
15.3400006294,41.6099998951,84.3900001049
13,42,86.4399995804
13,41.3900001049,88
15.4399995804,41.6099998951,112.399995804
20.6599993706,42,107.260003567
19.9500005245,41.3900001049,92.1700003147
14.9500005245,41.6099998951,114.179996014
13,42,105.210004091
15.4399995804,41.3900001049,90
21.2699992657,41.6099998951,90.6099998951
17.2900011539,42,91.6099998951
13,41.3900001049,90.7800002098
13,41.6099998951,122.939994335
14.8299996853,42,87.2700097561
17.8299996853,41.3900001049,85.7699940205
15.3400006294,41.6099998951,108.609999895
13,42,109
13,41.3900001049,109
15.4399995804,41.6099998951,130.349996328
16.3900001049,42,106.790006399
14.7800002098,41.3900001049,81.7800002098
13.3900001049,41.6099998951,81
13,42,79.7800002098
16.0499994755,41.3900001049,80.2199997902
19.2199997902,41.6099998951,101.129996538
16.3400006294,42,97.5300028324
13.3900001049,41.3900001049,83.9500005245
13,41.6099998951,85.0499994755
15.4399995804,41.3900001049,104.079997063
18.8299996853,41.6099998951,94.8700034618
16.3400006294,42,79.5600004196
13.3900001049,42,78
13,41.3900001049,87.7599983215
14.8299996853,41.6099998951,85.4600014687
19.6599993706,42,81.2199997902
17.1200008392,41.3900001049,80.7800002098
13.3900001049,41.6099998951,85.4899990559
13,42,90.8299996853
15.4399995804,41.3900001049,112.739996433
21.2699992657,41.6099998951,105.260003567
17.2900011539,42,93.2199997902
13,41.3900001049,112.299996853
13,41.6099998951,103.870003462
15.4399995804,42,90.3900001049
21.2699992657,41.3900001049,94.2699992657
18.5100009441,41.6099998951,92.7300007343
13.7800002098,42,113.789995909
13,41.3900001049,103.990004301
14.8299996853,41.6099998951,86.7800002098
20.2699992657,42,85.3900001049
17.5100009441,41.3900001049,107.569996119
13.3900001049,41.6099998951,100.040003777
13,42,88.4399995804
15.4399995804,41.3900001049,166.249986887
21.2699992657,41.6099998951,159.490009546
24,42,139.859997272
24,41.3900001049,133.530002832
19.7300007343,41.6099998951,119.950000525
17.6099998951,42,130.809997797
21.6599993706,41.3900001049,117.650003672
20.9500005245,41.6099998951,105.829999685
15.3400006294,42,128.349996328
13,41.3900001049,109.67000556
15.4399995804,41.6099998951,107.299996853
21.2699992657,42,113.510000944
19.1200008392,41.3900001049,111.829999685
14.1700003147,41.6099998951,152.039993286
13,42,123.930009127
14.8299996853,41.3900001049,110.739996433
20.8799991608,41.6099998951,141.079997063
19.7300007343,42,155.659999371
14.5600004196,41.3900001049,176.299996853
13,41.6099998951,124.56001091
15.4399995804,42,140.119990349
21.2699992657,41.3900001049,161.360002518
24,41.6099998951,127.600004196
23.3900001049,42,121.149998426
23.6099998951,41.3900001049,162.989993811
20.3400006294,41.6099998951,136.590008497
21.6599993706,42,112.929998636
24,41.3900001049,150.939994335
24,41.6099998951,176.269999266
23.3900001049,42,157.650003672
19.9500005245,41.3900001049,134.850001574
21.6599993706,41.6099998951,107.040003777
24,42,110.079997063
24,41.3900001049,110.630001783
22.1700003147,41.6099998951,145.479992867
19.1700003147,42,135.400006294
21.6599993706,41.3900001049,113.21999979
24,41.6099998951,146.939994335
24,42,148.480003357
24,41.3900001049,181.749992132
19.7300007343,41.6099998951,217.099998951
21.2699992657,42,218.56000042
24,41.3900001049,221.879999161
24,41.6099998951,209.750002623
24.6099998951,42,171.940004826
24.3900001049,41.3900001049,152.170000315
24.6099998951,41.6099998951,136.970002413
25,42,147.519996643
24.3900001049,41.3900001049,143.530002832
24.6099998951,41.6099998951,133.609999895
25,42,152.299996853
25,41.3900001049,146.310003042
24.3900001049,41.6099998951,135
24,42,142.319998741
24,41.3900001049,142.120000839
24,41.6099998951,119.480003357
24.6099998951,42,110.049999475
24.3900001049,41.3900001049,102.240001678
24,41.6099998951,118.569996119
23.3900001049,42,133
22.3900001049,41.3900001049,132.390000105
23.2199997902,41.6099998951,142.979998112
24,42,110.960006714
24,41.3900001049,101.859997272
24,41.6099998951,113.829999685
22.1700003147,42,111.950000525
22.8299996853,41.3900001049,108.78000021
24,41.6099998951,97.6300017834
24,42,115.399995804
22.7800002098,41.3900001049,133.43999958
20.1700003147,41.6099998951,133.78000021
22.0499994755,42,132.390000105
24,41.3900001049,108.820003986
23.3900001049,41.6099998951,90.3400006294
16.900001049,42,89.2199997902
15.4399995804,41.3900001049,100.979998112
19.4399995804,41.6099998951,90.3100030422
16.1200008392,42,63.1400027275
13.6099998951,41.3900001049,84.1099946499
13.3900001049,41.6099998951,88.1400027275
15.4399995804,42,78.6099998951
19.4399995804,41.3900001049,77.1700003147
16.1200008392,41.6099998951,94.909996748
13,42,94.8000020981
13,41.3900001049,85.1700003147
15.4399995804,41.6099998951,100.469997168
20.0499994755,42,93.3100030422
16.5100009441,41.3900001049,79.5600004196
13,41.6099998951,91.4199976921
13.6099998951,42,87.190002203
16.4399995804,41.3900001049,89.9799981117
19.8299996853,41.6099998951,84.8000020981
16.1200008392,42,75.7800002098
13,41.3900001049,75.6099998951
13,41.6099998951,76
15.4399995804,42,76.6099998951
18.2199997902,41.3900001049,76.3900001049
15.3400006294,41.6099998951,77.8299996853
13,42,79
13,41.3900001049,77.7800002098
15.4399995804,41.6099998951,76.3900001049
17,42,77.2199997902
14.5600004196,41.3900001049,92.0299975872
13,41.6099998951,71.7200050354
13,42,82.2799949646
15.4399995804,41.3900001049,86.3600025177
17,41.6099998951,78.2199997902
14.5600004196,42,77.7800002098
13,41.3900001049,77
13,41.6099998951,79.4399995804
15.4399995804,42,76.7300007343
15.1700003147,41.3900001049,74.6099998951
14,41.6099998951,75
13.3900001049,41.3900001049,60.3600025177
13,41.6099998951,64.4199976921
14.2199997902,42,57.7500026226
13.7800002098,42,80.3299944401
13,41.3900001049,70.5000052452
13,41.6099998951,62.5899980068
13.6099998951,42,71.2199997902
14,41.3900001049,58.5800023079
15.2199997902,41.6099998951,62.809997797
14.1700003147,42,56.9700024128
13,41.3900001049,60.809997797
13.6099998951,41.6099998951,56.190002203
15.8299996853,42,64.4699971676
15.7800002098,41.3900001049,75
13.7800002098,41.6099998951,73.7800002098
13,42,58.3600025177
13,41.3900001049,65.4699971676
15.4399995804,41.6099998951,75.3900001049
15.7800002098,42,59.7500026226
13.7800002098,41.3900001049,64.0299975872
13,41.6099998951,73
13.6099998951,27.3600025177,43.1100051403
14,36.909996748,59.9899938107
15.8299996853,54.4899990559,87.8799991608
14.5600004196,48.2400016785,64.7700045109
13,41.3900001049,65.6899969578
13,41.6099998951,59.3100030422
14.2199997902,42,65.6899969578
13.7800002098,41.3900001049,56.8700034618
13,41.6099998951,44.6099998951
13.6099998951,42,44.3900001049
13.3900001049,41.3900001049,62.2999968529
13,26.3600025177,40.4500057697
13,23.099998951,26.3199987411
8.73000073433,10.5300028324,33.4399995804
10.2699992657,0,13.6500036716
13,0,0
6.29000115395,53.6799907684,57.9499900341
0.780000209808,65.4300038815,88.900001049
0,35.7500026226,49.6200060844
0,27.2199997902,33.099998951
0,88.9999895096,126.669984579
0,81.6400079727,126.660009861
0,56.2699992657,74.1400027275
0,48.6300017834,72.5399985313
0,42,59.7000031471
0,32.8500015736,65.0799970627
0,11.1400027275,60.1400027275
0,26.0099956989,67.0799970627
0,41.3900001049,59.090003252
0,41.6099998951,66.5199966431
0,41.3900001049,57.0400037766
0,25.7500026226,28.9700024128
0,43.4499952793,69.4099915028
0.609999895096,53.6800012589,70.5000052452
8.92999863625,44.1200008392,47.3400006294
13.3900001049,41.6099998951,67.5699961185
13,42,60.6500036716
14.2199997902,41.3900001049,68.9599962234
14.3900001049,41.6099998951,61.6500036716
13.3900001049,42,69.9599962234
13,41.3900001049,61.4300038815
13,41.6099998951,67.1299965382
14.8299996853,42,61.090003252
14.1700003147,41.3900001049,69.7399964333
13,41.6099998951,59.2100040913
13.6099998951,42,45.2199997902
13.3900001049,34.6800012589,58.809997797
13,11.7000031471,27.3500068188
13.6099998951,51.239991188,62.3899896145
14,57.7700045109,88.190002203
13.3900001049,41.6099998951,59.8700034618
13,42,68.3499963284
13,41.3900001049,60.6500036716
14.8299996853,41.6099998951,64.6899969578
14.7800002098,42,59.5300028324
13.3900001049,41.3900001049,61.1999979019
13,41.6099998951,68.3900001049
13,42,56.4100019932
14.8299996853,41.3900001049,60.5899980068
14.7800002098,41.6099998951,71.0499994755
13.3900001049,42,72.3900001049
13,41.3900001049,57.9700024128
13,41.6099998951,61.809997797
14.8299996853,42,70
16,41.3900001049,56.5800023079
14.1700003147,41.6099998951,61.4199976921
13,41.3900001049,71.2199997902
13,41.6099998951,78.7099988461
15.4399995804,42,86.0499994755
15.1700003147,42,63.6000041962
13.3900001049,41.3900001049,70.5699961185
13,41.6099998951,63.0400037766
13,42,73.3999958038
15.4399995804,41.3900001049,63.380004406
14.5600004196,41.6099998951,71.3999958038
13,42,86.3900001049
13,41.3900001049,82.9500005245
13,41.6099998951,61.4800033569
15.4399995804,42,69.1299965382
15.7800002098,41.3900001049,81.3900001049
14.3900001049,41.6099998951,81
13.3900001049,42,84.0499994755
13,41.3900001049,64.0400037766
14.2199997902,41.6099998951,70.7399964333
15,42,83.3900001049
14.3900001049,41.3900001049,61.6500036716
13.3900001049,41.6099998951,69.9599962234
13,42,84.6099998951
15.4399995804,41.3900001049,63.6500036716
15.7800002098,41.6099998951,71.3499963284
13.7800002098,41.3900001049,88.0499994755
13,41.6099998951,116.229995489
13,42,82.9800086021
15.4399995804,42,77.8399953842
16.3900001049,41.3900001049,93.1700003147
14.1700003147,41.6099998951,92.6099998951
13,42,68.6000041962
13,41.3900001049,76.7899959087
16.0499994755,41.6099998951,92
17.3900001049,42,89.5600004196
14.5600004196,41.3900001049,89.8299996853
13,41.6099998951,92.2199997902
13,42,92.3900001049
15.4399995804,41.3900001049,90.1700003147
17.6099998951,41.6099998951,91.4399995804
14.9500005245,42,91.7800002098
13,41.3900001049,90.3900001049
13,41.6099998951,88.7800002098
15.4399995804,42,120.32999444
18.2199997902,41.3900001049,116.600004196
15.3400006294,41.6099998951,69.280005455
13,42,77.6699950695
13,41.3900001049,96.6099998951
14.8299996853,41.6099998951,68.3300049305
15.3900001049,42,79.2799949646
13.7800002098,41.3900001049,117.519996643
13,41.6099998951,105.600004196
13,42,91.2199997902
15.4399995804,41.3900001049,90.1700003147
17.6099998951,41.6099998951,89
14.9500005245,42,89
13,41.3900001049,87.1700003147
