"DispFrames","NoAudioPlayed","NoRTPPkts"
24.5899999142,65.7799963951,306.399986267
24,41.4100000858,189.039995193
18.6699988842,31.7499978542,143.699997425
12.6400003433,35.8600039482,108.779996395
19.1000008583,54.3899981976,83.5899999142
24.5899999142,42,83.4100000858
24,41.5899999142,84
24,41.4100000858,84.4100000858
24,42,96.0700023174
24,41.5899999142,121.84000206
24,41.4100000858,136.820000172
24,42,139.640000343
24,41.5899999142,141.589999914
23.5899999142,41.4100000858,138.539999485
23.4100000858,42,132.949999571
24,41.5899999142,127.949999571
24,41.4100000858,124.179999828
24,42,120.949999571
24,41.5899999142,114.719999313
24,41.4100000858,106.309999228
24,42,99.3599996567
24,41.5899999142,94.1299993992
24,41.4100000858,88.3599996567
24,42,89.2800006866
24,41.5899999142,98.5100009441
24,41.4100000858,109.510000944
24,42,121.740001202
24,41.5899999142,139.430001974
24,41.4100000858,155.050000429
24,42,158.410000086
24,41.5899999142,138.499995708
24,41.4100000858,113.510000944
24,42,118.769999743
24,41.5899999142,119.870000601
24,41.4100000858,120.719999313
24,42,119.690000772
24,41.5899999142,127.460000515
24,41.4100000858,127.309999228
24,42,119.949999571
24,41.5899999142,119.870000601
24,41.4100000858,116.209998369
24,42,102.949999571
24,41.5899999142,96.3099992275
24,41.4100000858,92.2300002575
24,42,93.5899999142
24,41.5899999142,97.92000103
23.5899999142,41.4100000858,107.050000429
23.4100000858,42,112.460000515
24.4100000858,41.5899999142,117.230000257
24.5899999142,41.4100000858,107.109997511
24,42,90.8200001717
23.5899999142,41.5899999142,92.4100000858
23.4100000858,41.4100000858,91.7699997425
24.4100000858,42,90.8200001717
24.5899999142,41.5899999142,113.730004549
24,41.4100000858,142.949999571
24,42,145.330001116
23.5899999142,41.5899999142,167.76000309
23.8200001717,41.4100000858,203.350003004
24.5899999142,42,224
23.5899999142,41.5899999142,224
23.4100000858,41.4100000858,224
24,42,224.410000086
24.4100000858,41.5899999142,225
24.1799998283,41.4100000858,225.410000086
23.4100000858,42,198.529994249
24,41.5899999142,161.050000429
24,41.4100000858,164
24,42,164
24,41.5899999142,164
24,41.4100000858,163.179999828
24,42,162
24,41.5899999142,160.769999743
24,41.4100000858,205.740009785
23.5899999142,42,272.179999828
23.4100000858,41.5899999142,270.179999828
24,41.4100000858,269
24,42,269
24,41.5899999142,269.820000172
24,41.4100000858,270.589999914
24,42,271.230000257
24,41.5899999142,273.410000086
24,41.4100000858,273.589999914
24,42,271.769999743
24,41.5899999142,269.589999914
24,41.4100000858,267.359999657
24,42,266.230000257
24,41.5899999142,268
24.4100000858,41.4100000858,267.589999914
24.1799998283,42,265.359999657
23.4100000858,41.5899999142,260.949999571
24,41.4100000858,211.259990215
24,42,142.359999657
24,41.5899999142,147.380001545
24,41.4100000858,154.719999313
24,42,150
24,41.5899999142,156.150001287
24,41.4100000858,154.339997768
24,42,151.300002575
24,41.5899999142,166.949999571
24,41.4100000858,183.68000412
24,42,213.230000257
24,41.5899999142,214.589999914
24,41.4100000858,209.899999142
24,42,197.029998541
24,41.5899999142,184.539999485
24,41.4100000858,179.359999657
24,42,179.460000515
24,41.5899999142,183.410000086
24,41.4100000858,179.07999897
24,42,170.359999657
24,41.5899999142,168.410000086
24,41.4100000858,166.539999485
23.5899999142,42,164.230000257
23.4100000858,41.5899999142,164.769999743
24,41.4100000858,153.15999794
24,42,154.990003347
24,41.5899999142,200.140004635
24,41.4100000858,242.660002232
24,42,204.699988842
24,41.5899999142,128
24,41.4100000858,130.050000429
24,42,130.949999571
24.4100000858,41.5899999142,127.589999914
24.1799998283,41.4100000858,124.949999571
23.4100000858,42,125.280000687
24,41.5899999142,132.460000515
24,41.4100000858,135.589999914
24,42,135.410000086
24,41.5899999142,136
24,41.4100000858,136
24,42,136.410000086
24,41.5899999142,144.380001545
24,41.4100000858,163.200001717
24,42,176.230000257
24,41.5899999142,168.979998112
24,41.4100000858,142.059997082
24,42,119.949999571
24,41.5899999142,117.820000172
24,41.4100000858,120.230000257
24,42,122.820000172
24,41.5899999142,124.820000172
24,41.4100000858,120.669998884
24,42,108.899999142
24,41.5899999142,116.530002832
24,41.4100000858,131.899999142
24,42,131.330001116
24,41.5899999142,137.359999657
24,41.4100000858,135.410000086
24,42,135.179999828
24,41.5899999142,136.460000515
24,41.4100000858,137.539999485
24,42,132.769999743
23.5899999142,41.5899999142,128.949999571
23.4100000858,41.4100000858,126.410000086
24,42,127.410000086
24,41.5899999142,140.300002575
24,41.4100000858,172.350003004
24,42,189.309999228
24,41.5899999142,160.219995022
24,41.4100000858,145.68000412
24,42,168.669998884
24,41.5899999142,156.489999056
24,41.4100000858,140.569998026
24,42,136.020001888
24,41.5899999142,160.890002489
24,41.4100000858,169.389998198
24,42,146.749997854
24,41.5899999142,185.300011158
24,41.4100000858,233.709994078
24,42,177.009996653
24,41.5899999142,166.710002661
24,41.4100000858,162.449995279
24,42,126.719999313
24,41.5899999142,143.730004549
24,41.4100000858,159.419996738
24,42,153.400003433
24,41.5899999142,177.410000086
24,41.4100000858,171.849998713
24,42,154.799998283
24,41.5899999142,136.849998713
24,41.4100000858,126.769999743
24,42,140.580003262
24,41.5899999142,155.209998369
24,41.4100000858,134.569998026
24,42,119.359999657
24,41.5899999142,156.770008326
24,41.4100000858,213.589999914
24,42,216.280000687
24,41.5899999142,219.769999743
24,41.4100000858,219.230000257
24,42,210.749997854
24,41.5899999142,165.249993563
24,41.4100000858,119.359999657
24,42,118.230000257
24,41.5899999142,119.179999828
24,41.4100000858,120.050000429
24,42,125.460000515
23.5899999142,41.5899999142,129.410000086
23.4100000858,41.4100000858,129.589999914
24,42,129
24,41.5899999142,131.050000429
24,41.4100000858,132.769999743
24,42,135.92000103
24,41.5899999142,128.649996996
24,41.4100000858,106.359999657
24,42,107.690000772
24,41.5899999142,116.280000687
24,41.4100000858,125.92000103
24,42,133
24,41.5899999142,133
24,41.4100000858,132.589999914
24,42,124.619998455
24,41.5899999142,114
24,41.4100000858,113.589999914
24,42,113.410000086
24,41.5899999142,114
24,41.4100000858,121.380001545
24,42,132.820000172
24,41.5899999142,133.589999914
24,41.4100000858,133.410000086
24,42,134
24,41.5899999142,134
24,41.4100000858,127.029998541
24,42,116.589999914
24,41.5899999142,114.359999657
24,41.4100000858,110.769999743
24,42,125.400003433
24,41.5899999142,144.899999142
24,41.4100000858,127.109997511
24,42,110
24,41.5899999142,109.589999914
24,41.4100000858,115.150001287
24,42,117.029998541
24,41.5899999142,108.640000343
24,41.4100000858,110.589999914
24,42,111.640000343
24,41.5899999142,113.179999828
24,41.4100000858,112
24,42,122.250002146
24,41.5899999142,127.569998026
24,41.4100000858,113.589999914
24,42,113.410000086
24,41.5899999142,114
24,41.4100000858,112.769999743
24,42,110.589999914
24,41.5899999142,110
24,41.4100000858,111.230000257
23.5899999142,42,113.410000086
23.4100000858,41.5899999142,113.589999914
24,41.4100000858,113.410000086
24,42,116.870000601
24,41.5899999142,122.230000257
24,41.4100000858,123.179999828
24,42,122
24,41.5899999142,122.820000172
24,41.4100000858,125.230000257
24,42,129.870000601
24,41.5899999142,134.820000172
24,41.4100000858,134.769999743
24,42,134.230000257
24,41.5899999142,131.07999897
24,41.4100000858,116.209998369
24,42,105
24,41.5899999142,104.179999828
24,41.4100000858,104.230000257
24,42,112.970001459
24,41.5899999142,130.790001631
24,41.4100000858,141.589999914
24,42,137.309999228
24,41.5899999142,129.539999485
24,41.4100000858,126.410000086
24,42,129.050000429
24,41.5899999142,132.820000172
24,41.4100000858,136.460000515
24,42,160.910004377
24,41.5899999142,174.599996567
24,41.4100000858,148.129999399
24,42,142.769999743
24,41.5899999142,141.410000086
24,41.4100000858,141.179999828
24,42,140.820000172
24,41.5899999142,160.040003777
23.5899999142,41.4100000858,175.749997854
23.4100000858,42,160.179999828
24,41.5899999142,168.430001974
24,41.4100000858,163.549996138
24,42,137
24,41.5899999142,136.589999914
24,41.4100000858,136
24,42,138.870000601
24,41.5899999142,141.769999743
24,41.4100000858,138.769999743
24,42,134.539999485
24,41.5899999142,137.560001373
24,41.4100000858,128.959996223
24,42,103
24,41.5899999142,105.870000601
24,41.4100000858,112.870000601
24,42,117.820000172
24,41.5899999142,130.070002317
24,41.4100000858,146
24,42,141.07999897
24,41.5899999142,164.340006351
24,41.4100000858,195.699997425
24,42,177.589999914
24,41.5899999142,177.410000086
24,41.4100000858,178
24,42,146.429993391
24,41.5899999142,101
24,41.4100000858,109.610001802
24,42,119.129999399
24,41.5899999142,115.410000086
24,41.4100000858,115.589999914
24,42,135.090004206
24,41.5899999142,160.309999228
24,41.4100000858,154.179999828
24,42,161.200001717
24,41.5899999142,175.870000601
24,41.4100000858,181.230000257
24,42,181.769999743
24,41.5899999142,162.779996395
24,41.4100000858,129.389998198
24,42,122.740001202
24,41.5899999142,136.330001116
24,41.4100000858,136.619998455
24,42,114.109997511
24,41.5899999142,97.8200001717
23.5899999142,41.4100000858,98.5899999142
23.4100000858,42,103.330001116
24,41.5899999142,113.460000515
24,41.4100000858,116.179999828
24,42,121.150001287
24,41.5899999142,120.15999794
24,41.4100000858,117.480002403
24,42,134.410000086
24,41.5899999142,134.589999914
24,41.4100000858,139.330001116
24,42,128.139996052
24,41.5899999142,101
24,41.4100000858,103.870000601
24,42,108
24,41.5899999142,108.410000086
24,41.4100000858,106.539999485
24,42,102.179999828
24,41.5899999142,99.7699997425
24,41.4100000858,103.740001202
24,42,109.129999399
24,41.5899999142,129.190005064
24,41.4100000858,160.309999228
24,42,160.740001202
24,41.5899999142,156.289997339
24,41.4100000858,122.009996653
24,42,98.5899999142
24,41.5899999142,98
24,41.4100000858,100.460000515
24,42,107.690000772
24,41.5899999142,107.669998884
24,41.4100000858,110.660002232
24,42,124.359999657
24,41.5899999142,117.07999897
24,41.4100000858,122.300002575
24,42,153.940002918
24,41.5899999142,169.07999897
24,41.4100000858,139.449995279
24,42,118.890002489
24,41.5899999142,133.949999571
24,41.4100000858,131.820000172
23.5899999142,42,120.699997425
23.4100000858,41.5899999142,116.120002747
24,41.4100000858,125.569998026
24,42,113.640000343
24,41.5899999142,123.790001631
24,41.4100000858,127.209998369
24,42,121.330001116
24,41.5899999142,135.970001459
24,41.4100000858,150.92000103
24,42,146.519997597
24,41.5899999142,118.929997683
24,41.4100000858,101.359999657
24,42,97.7699997425
24,41.5899999142,95.1799998283
24,41.4100000858,92.7699997425
24,42,89.7699997425
24,41.5899999142,104.810003519
24,41.4100000858,143.76000309
24,42,182.220003605
24,41.5899999142,162.71999073
24,41.4100000858,110.070002317
24,42,121.07999897
24,41.5899999142,109.899999142
24,41.4100000858,115.890002489
24,42,118.23999691
24,41.5899999142,110.940002918
24,41.4100000858,115.829996824
24,42,107.940002918
24,41.5899999142,117.749997854
24,41.4100000858,113.250002146
24,42,126.359999657
24,41.5899999142,120.719999313
24,41.4100000858,111.489999056
24,42,103.769999743
24,41.5899999142,106.92000103
24,41.4100000858,108.259998798
24,42,102.870000601
24,41.5899999142,100.029998541
24,41.4100000858,93.6900007725
24,42,101.870000601
24,41.5899999142,104.359999657
24,41.4100000858,116.350003004
24,42,145.200001717
24,41.5899999142,130.759994507
24,41.4100000858,104.890002489
24,42,111.339997768
24,41.5899999142,100.92000103
24,41.4100000858,113.740001202
24,42,116.259998798
24,41.5899999142,112.100000858
23.5899999142,41.4100000858,132.350003004
23.4100000858,42,144.799998283
